Name,Type,Base  Points,Effect,Reason
Alcohol,Miscellaneous,-5,Bad,
Apple,Fruit,1,Good,
Apple Pie,Sweet,-1,Bad,
Asparagus,Vegetable,1,Good,
Avocado,Fruit,-1,Bad,
Bacon,Meat,4,Good,
Bagel,Generic,2,Good,
Banana,Fruit,2,Good,
Birthday Cake,Sweet,-1,Bad,
Blackberries,Fruit,1,Good,
Blue Cheese,Generic,-5,Bad,
Blueberries,Fruit,3,Good,
Brie,Generic,-5,Bad,
Broccoli,Vegetable,2,Good,
Brown Rice,Generic,2,Good,
Camembert,Generic,-5,Bad,
Cantaloupe,Fruit,2,Good,
Carrot,Vegetable,1,Good,
Cat Food,Generic,3,Good,
Catnip,None,0,Miscellaneous,
Cheddar,Generic,3,Good,
Cherries,Fruit,-5,Bad,
Chicken,Meat,3,Good,
Chicken Liver,Meat,5,Good,
Chicken Tenders,Meat,3,Good,
Chives,Generic,-4,Bad,
Chocolate,Sweet,-5,Bad,
Cinnamon Buns,Sweet,-2,Bad,
Clams,Meat,2,Good,
Cod,Meat,3,Good,
Coffee,Miscellaneous,-5,Bad,
Cooked Bones,None,-2,Bad,
Corn,Vegetable,1,Good,
Crab Legs,Meat,3,Good,
Cranberries,Fruit,1,Good,
Cucumber,None,0,Miscellaneous,
Dog Food,None,1,Miscellaneous,
Doritos,Generic,-2,Bad,
Energy Drink,Miscellaneous,-4,Bad,
Garlic,Vegetable,-4,Bad,
Grapefruit,Fruit,-2,Bad,
Grapes,Fruit,-4,Bad,
Grass,Generic,1,Good,
Ground Beef,Meat,3,Good,
Honey,Sweet,-2,Bad,
Honeydew,Fruit,2,Good,
Jaggery,Sweet,-4,Bad,
Kibble,Generic,2,Good,
Lamb Chops,Meat,4,Good,
Lemon,Fruit,-4,Bad,
Limes,Fruit,-4,Bad,
Lobster,Meat,5,Good,
Mackerel,Meat,4,Good,
Mango,Fruit,2,Good,
Marshmallows,Sweet,-1,Bad,
Milk,Generic,-4,Bad,
Milk Tea Boba,Sweet,-5,Bad,
Molasses,Sweet,-3,Bad,
Mozerella,Generic,-3,Bad,
Mysterious Essence,None,0,Miscellaneous,
Mystery Cat Food,None,0,Miscellaneous,
Nothing,None,0,Miscellaneous,
Oatmeal,Generic,2,Good,
Onions,Vegetable,-4,Bad,
Orange,Fruit,-2,Bad,
Pancakes,Sweet,1,Good,
Peanut Butter,Generic,-2,Bad,
Peas,Vegetable,1,Good,
Pigeon,Meat,3,Good,
Pineapple,Fruit,2,Good,
Pizza,Generic,-1,Bad,
Poison,None,-5,Miscellaneous,
Potato,Meat,1,Good,
Pumpkin,Fruit,2,Good,
Raisins,Fruit,-3,Bad,
Raspberries,Fruit,1,Good,
Red Chili,Generic,-2,Bad,
Roast Beef,Meat,5,Good,
Salami,Meat,-1,Bad,
Salmon,Meat,4,Good,
Salt,Generic,-4,Bad,
Sardines,Meat,3,Good,
Scrambled Eggs,Generic,1,Good,
Shrimp,Meat,2,Good,
Soda,Miscellaneous,-2,Bad,
Sour Candy,Generic,-2,Bad,
Spoonful of Coconut Oil,None,1,Good,
Squid,Meat,4,Good,
Sriracha,Generic,-4,Bad,
Steak,Meat,4,Good,
Strawberries,Fruit,2,Good,
Sushi,Generic,-1,Bad,
Swiss,Generic,4,Good,
Takis,Generic,-4,Bad,
Tomato,Fruit,-1,Bad,
Toothpaste,None,-4,Bad,
Trout,Meat,4,Good,
Tuna,Meat,4,Good,
Turkey,Meat,4,Good,
Ube,Meat,2,Good,
Veal,Meat,5,Good,
Watermelon,Fruit,1,Good,
White Bread,Generic,1,Good,
White Rice,Generic,1,Good,
Whitefish,Meat,4,Good,
Winter Squash,Vegetable,2,Good,
Yams,Meat,1,Good,
Yogurt,Sweet,2,Good,